Type,Algorithm,Time,Comparisons
WITHPREFIX_700,MergeSort,3.55187,93558
WITHPREFIX_700,MergeSort LCP,2.91158,93398
WITHPREFIX_700,Ternary QuickSort,0.487958,17633
WITHPREFIX_700,MSD Radix,1.79868,23952
WITHPREFIX_700,MSD Radix + Quick,1.27037,24553
RANDOM_800,std::sort,0.740725,11572
RANDOM_800,MergeSort,0.972117,8826
RANDOM_800,MergeSort LCP,1.70442,8839
RANDOM_800,Ternary QuickSort,0.378933,8805
RANDOM_800,MSD Radix,0.86295,3452
RANDOM_800,MSD Radix + Quick,0.2114,4325
REVERSED_800,std::sort,0.184275,3235
REVERSED_800,MergeSort,0.690942,5167
REVERSED_800,MergeSort LCP,1.32102,5740
REVERSED_800,Ternary QuickSort,1.46627,33530
REVERSED_800,MSD Radix,0.784,3406
REVERSED_800,MSD Radix + Quick,0.271492,6427
ALMOST_800,std::sort,0.390633,7444
ALMOST_800,MergeSort,0.762525,7780
ALMOST_800,MergeSort LCP,1.45821,7360
ALMOST_800,Ternary QuickSort,0.760066,19822
ALMOST_800,MSD Radix,0.843517,3416
ALMOST_800,MSD Radix + Quick,0.230208,4450
WITHPREFIX_800,std::sort,5.28108,150698
WITHPREFIX_800,MergeSort,4.30885,109668
WITHPREFIX_800,MergeSort LCP,4.48498,109830
WITHPREFIX_800,Ternary QuickSort,0.537883,19531
WITHPREFIX_800,MSD Radix,2.31439,27438
WITHPREFIX_800,MSD Radix + Quick,1.47511,28232
RANDOM_900,std::sort,0.825767,13471
RANDOM_900,MergeSort,1.06468,10168
RANDOM_900,MergeSort LCP,1.87979,10174
RANDOM_900,Ternary QuickSort,0.355675,9000
RANDOM_900,MSD Radix,0.867742,3862
RANDOM_900,MSD Radix + Quick,0.287983,4948
REVERSED_900,std::sort,0.196675,3672
REVERSED_900,MergeSort,0.826192,6124
REVERSED_900,MergeSort LCP,1.58361,6568
REVERSED_900,Ternary QuickSort,1.51258,38427
REVERSED_900,MSD Radix,0.953692,3882
REVERSED_900,MSD Radix + Quick,0.317667,7692
ALMOST_900,std::sort,0.421442,8451
ALMOST_900,MergeSort,0.883175,9120
ALMOST_900,MergeSort LCP,1.67388,8789
ALMOST_900,Ternary QuickSort,0.7383,19368
ALMOST_900,MSD Radix,0.865117,3872
ALMOST_900,MSD Radix + Quick,0.247141,5344
WITHPREFIX_900,std::sort,5.4801,164594
WITHPREFIX_900,MergeSort,4.70637,125654
WITHPREFIX_900,MergeSort LCP,3.67671,125509
WITHPREFIX_900,Ternary QuickSort,0.5658,22444
WITHPREFIX_900,MSD Radix,2.24477,30848
WITHPREFIX_900,MSD Radix + Quick,1.60831,31955
RANDOM_1000,std::sort,0.913108,14953
RANDOM_1000,MergeSort,1.19189,11577
RANDOM_1000,MergeSort LCP,2.16927,11598
RANDOM_1000,Ternary QuickSort,0.4362,10211
RANDOM_1000,MSD Radix,0.945583,4282
RANDOM_1000,MSD Radix + Quick,0.297667,5709
REVERSED_1000,std::sort,0.206784,4066
REVERSED_1000,MergeSort,0.901133,7088
REVERSED_1000,MergeSort LCP,1.73324,7236
REVERSED_1000,Ternary QuickSort,1.61953,43346
REVERSED_1000,MSD Radix,0.957442,4312
REVERSED_1000,MSD Radix + Quick,0.380334,9298
ALMOST_1000,std::sort,0.480508,9521
ALMOST_1000,MergeSort,0.953633,10223
ALMOST_1000,MergeSort LCP,1.86472,10127
ALMOST_1000,Ternary QuickSort,0.97145,25890
ALMOST_1000,MSD Radix,0.942642,4314
ALMOST_1000,MSD Radix + Quick,0.284534,6045
WITHPREFIX_1000,std::sort,6.21295,187104
WITHPREFIX_1000,MergeSort,5.14113,142883
WITHPREFIX_1000,MergeSort LCP,4.31456,142613
WITHPREFIX_1000,Ternary QuickSort,0.681208,25172
WITHPREFIX_1000,MSD Radix,2.50033,34298
WITHPREFIX_1000,MSD Radix + Quick,1.77752,35551
RANDOM_1100,std::sort,1.02158,17105
RANDOM_1100,MergeSort,1.28593,13039
RANDOM_1100,MergeSort LCP,2.3446,13045
RANDOM_1100,Ternary QuickSort,0.439933,11028
RANDOM_1100,MSD Radix,1.04407,4784
RANDOM_1100,MSD Radix + Quick,0.317442,6450
REVERSED_1100,std::sort,0.223133,4494
REVERSED_1100,MergeSort,0.966325,7772
REVERSED_1100,MergeSort LCP,1.83902,8302
REVERSED_1100,Ternary QuickSort,1.74552,47430
REVERSED_1100,MSD Radix,1.08695,4826
REVERSED_1100,MSD Radix + Quick,0.432542,10611
ALMOST_1100,std::sort,0.5088,10486
ALMOST_1100,MergeSort,1.04487,11372
ALMOST_1100,MergeSort LCP,2.02813,11020
ALMOST_1100,Ternary QuickSort,1.01343,27384
ALMOST_1100,MSD Radix,1.1437,4892
ALMOST_1100,MSD Radix + Quick,0.314383,6911
WITHPREFIX_1100,std::sort,7.13987,218412
WITHPREFIX_1100,MergeSort,6.00723,158942
WITHPREFIX_1100,MergeSort LCP,4.78818,158683
WITHPREFIX_1100,Ternary QuickSort,0.810659,28951
WITHPREFIX_1100,MSD Radix,2.63531,37718
WITHPREFIX_1100,MSD Radix + Quick,2.00265,39267
RANDOM_1200,std::sort,1.06881,18658
RANDOM_1200,MergeSort,1.37305,14507
RANDOM_1200,MergeSort LCP,2.44499,14512
RANDOM_1200,Ternary QuickSort,0.518133,12974
RANDOM_1200,MSD Radix,1.09315,5230
RANDOM_1200,MSD Radix + Quick,0.338917,7164
REVERSED_1200,std::sort,0.236967,4946
REVERSED_1200,MergeSort,1.1102,8623
REVERSED_1200,MergeSort LCP,2.26728,9455
REVERSED_1200,Ternary QuickSort,1.84961,50677
REVERSED_1200,MSD Radix,1.25896,5372
REVERSED_1200,MSD Radix + Quick,0.493058,12338
ALMOST_1200,std::sort,0.592858,11969
ALMOST_1200,MergeSort,1.14551,12858
ALMOST_1200,MergeSort LCP,2.25196,12054
ALMOST_1200,Ternary QuickSort,1.11223,29815
ALMOST_1200,MSD Radix,1.19135,5296
ALMOST_1200,MSD Radix + Quick,0.348725,7715
WITHPREFIX_1200,std::sort,7.93357,229637
WITHPREFIX_1200,MergeSort,6.77338,176121
WITHPREFIX_1200,MergeSort LCP,5.4036,176461
WITHPREFIX_1200,Ternary QuickSort,0.80515,30619
WITHPREFIX_1200,MSD Radix,2.95081,41322
WITHPREFIX_1200,MSD Radix + Quick,2.03756,43100
RANDOM_1300,std::sort,1.17865,20990
RANDOM_1300,MergeSort,1.5027,16073
RANDOM_1300,MergeSort LCP,2.74653,16055
RANDOM_1300,Ternary QuickSort,0.606867,15025
RANDOM_1300,MSD Radix,1.23938,5724
RANDOM_1300,MSD Radix + Quick,0.376958,7958
REVERSED_1300,std::sort,0.252642,5347
REVERSED_1300,MergeSort,1.14625,9353
REVERSED_1300,MergeSort LCP,2.21342,10428
REVERSED_1300,Ternary QuickSort,2.05564,57095
REVERSED_1300,MSD Radix,1.32021,5732
REVERSED_1300,MSD Radix + Quick,0.57515,14321
ALMOST_1300,std::sort,0.694075,13567
ALMOST_1300,MergeSort,1.37274,14805
